Fecha;Concepto;Detalle;Débito;Crédito;Saldo
31/08/2022;Impuesto Débitos y Créditos/DB;;4,70;;1.975.055,84
31/08/2022;Impuesto Débitos y Créditos/DB;;0,21;;1.975.060,54
31/08/2022;Impuesto Débitos y Créditos/DB;;0,04;;1.975.060,75
31/08/2022;Impuesto Débitos y Créditos/DB;;0,69;;1.975.060,79
31/08/2022;Impuesto Débitos y Créditos/DB;;0,14;;1.975.061,48
31/08/2022;Devolución Imp. Débitos;;;1.570,69;1.975.061,62
31/08/2022;Devolución Imp. Débitos;;;3.142,79;1.973.490,93
31/08/2022;COMIS.TRANSFERENCIAS;OPERACIÓN 0 GENERADA EL 31/08/22;115,00;;1.970.348,14
31/08/2022;IVA;OPERACIÓN 0 GENERADA EL 31/08/22;24,15;;1.970.463,14
31/08/2022;Comisión Consulta Cámara;;35,00;;1.970.487,29
31/08/2022;IVA;;7,35;;1.970.522,29
31/08/2022;Comisión Mantenimiento Cuenta;OPERACIÓN 12233854 GENERADA EL 31/08/22;4.706,00;;1.970.529,64
31/08/2022;IVA;OPERACIÓN 12233854 GENERADA EL 31/08/22;988,26;;1.975.235,64
31/08/2022;Percepción I.V.A. RG. 3337;OPERACIÓN 12233854 GENERADA EL 31/08/22;141,18;;1.976.223,90
31/08/2022;Cobro Percepción IIBB;OPERACIÓN 12233854 GENERADA EL 31/08/22;4,71;;1.976.365,08
31/08/2022;Impuesto Débitos y Créditos/DB;;28,24;;1.976.369,79
31/08/2022;Impuesto Débitos y Créditos/DB;;5,93;;1.976.398,03
31/08/2022;Impuesto Débitos y Créditos/DB;;0,85;;1.976.403,96
31/08/2022;Impuesto Débitos y Créditos/DB;;0,03;;1.976.404,81
31/08/2022;Débito Comisión Pago a Prov.;Referencia: 22309;784,08;;1.976.404,84
31/08/2022;Trf. Pago.Prov-Terceros O/Bcos;30500768262 MOLFINO HERMANOS REF: PAGO A PROVEED.;;1.640.804,99;1.977.188,92
31/08/2022;Impuesto Débitos y Créditos/CR;;9.844,83;;336.383,93
31/08/2022;Impuesto Débitos y Créditos/DB;;177,21;;346.228,76
31/08/2022;IIBB- Acreditaciones Bancarias;;29.534,49;;346.405,97
31/08/2022;Debito Transf. HomeBanking;;3.300.000,00;;375.940,46
31/08/2022;Impuesto Débitos y Créditos/DB;;19.800,00;;3.675.940,46
31/08/2022;CRED BCA ELECTR INTERBANC EXEN;CUENTAS PROPIAS 33708528809 IFLOW S.A.  Referencia: 5053349;;5.550.000,00;3.695.740,46
31/08/2022;Transferencia por CBU;CBU:01704604-20000000141244 BENEF: 0-33708528809 REF:VAR-460001412;4.200.000,00;;-1.854.259,54
