concepto,monto
Impuesto Débitos y Créditos/DB,2518822.2299999995
Devolución Imp. Débitos,4729.0599999999995
COMIS.TRANSFERENCIAS,2530.0
IVA,57780.07999999997
Comisión Consulta Cámara,700.0
Comisión Mantenimiento Cuenta,4706.0
Percepción I.V.A. RG. 3337,8103.85
Cobro Percepción IIBB,536.72
Débito Comisión Pago a Prov.,784.08
Trf. Pago.Prov-Terceros O/Bcos,12187554.96
Impuesto Débitos y Créditos/CR,926362.7000000002
IIBB- Acreditaciones Bancarias,4150122.9699999997
Debito Transf. HomeBanking,20750000.0
CRED BCA ELECTR INTERBANC EXEN,204917000.0
Transferencia por CBU,100501494.83
CRED BCA ELECTRONICA INTERBANC,103929174.47999999
Rech. Cheques Falla Técnica,785580.52
Trf. Masivas Pago Proveedores,119205508.50999992
Pago Cheque de Cámara Recibida,195885949.83999997
SIPAP - Pago Cheque de Cámara,32240355.95
SIPAP - Pago Cámara SPV 24 hs.,1592003.2400000002
Crédito Transf. HomeBanking,14600000.0
Descto. Docum.- Acreditación,76168604.92000002
Pago Cámara SPV 24 hs.,2115162.71
Crédito por Transferencia,89556032.45
Préstamos Inversion Productiva,4455000.0
DEB BCA ELECTRONICA INTERBANC,666200.8
Credito DEBIN,7547000.0
Pago de Servicios,14489512.88
Comisión Riesgo Contigente,516.0
Acreditación Cheque Dep.48 Hs.,86020.5
Intereses de Sobregiro,530844.48
IMPUESTO A LOS SELLOS,10987.52
Débito Automático de Servicio,1414130.8900000001
Pago Automático de Préstamo,505777.9
DEB BCA ELECTRONICA INTRABANC,4566105.17
Deb. Pago de Sueldo,8975093.0
COMISIONES DATANET,94.2
DEB BCA ELECTR INTERBANC EXEN,1000000.0
Contras.Ints.Sobreg.,2349.59
