fecha,concepto_supervielle,concepto_astor,codigo,debito,credito,saldo,objetivo
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"4,70",,"1.975.055,84",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,21",,"1.975.060,54",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,04",,"1.975.060,75",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,69",,"1.975.060,79",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,14",,"1.975.061,48",
31/08/2022,Devolución Imp. Débitos,IMPUESTOS DEBITOS,5,,"1.570,69","1.975.061,62",
31/08/2022,Devolución Imp. Débitos,IMPUESTOS DEBITOS,5,,"3.142,79","1.973.490,93",
31/08/2022,COMIS.TRANSFERENCIAS,COMISIONES,2,"115,00",,"1.970.348,14",COMIS.TRANSFERENCIAS - OPERACIÓN 0 GENERADA EL 31/08/22
31/08/2022,IVA,IVA,7,"24,15",,"1.970.463,14",
31/08/2022,Comisión Consulta Cámara,COMISIONES,2,"35,00",,"1.970.487,29",Comisión Consulta Cámara - 
31/08/2022,IVA,IVA,7,"7,35",,"1.970.522,29",
31/08/2022,Comisión Mantenimiento Cuenta,COMISIONES,2,"4.706,00",,"1.970.529,64",Comisión Mantenimiento Cuenta - OPERACIÓN 12233854 GENERADA EL 31/08/22
31/08/2022,IVA,IVA,7,"988,26",,"1.975.235,64",
31/08/2022,Percepción I.V.A. RG. 3337,PERC. IVA,9,"141,18",,"1.976.223,90",
31/08/2022,Cobro Percepción IIBB,IIBB,3,"4,71",,"1.976.365,08",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"28,24",,"1.976.369,79",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"5,93",,"1.976.398,03",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,85",,"1.976.403,96",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,03",,"1.976.404,81",
31/08/2022,Débito Comisión Pago a Prov.,COMISIONES,2,"784,08",,"1.976.404,84",Débito Comisión Pago a Prov. - Referencia: 22309
31/08/2022,Trf. Pago.Prov-Terceros O/Bcos,TRANSFERENCIA,12,,"1.640.804,99","1.977.188,92",Trf. Pago.Prov-Terceros O/Bcos - 30500768262 MOLFINO HERMANOS REF: PAGO A PROVEED.
31/08/2022,Impuesto Débitos y Créditos/CR,IMPUESTOS CREDITOS,4,"9.844,83",,"336.383,93",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"177,21",,"346.228,76",
31/08/2022,IIBB- Acreditaciones Bancarias,IIBB,3,"29.534,49",,"346.405,97",
31/08/2022,Debito Transf. HomeBanking,TRANSFERENCIA,12,"3.300.000,00",,"375.940,46",Debito Transf. HomeBanking - 
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"19.800,00",,"3.675.940,46",
31/08/2022,CRED BCA ELECTR INTERBANC EXEN,TRANSFERENCIA,12,,"5.550.000,00","3.695.740,46",CRED BCA ELECTR INTERBANC EXEN - CUENTAS PROPIAS 33708528809 IFLOW S.A.  Referencia: 5053349
31/08/2022,Transferencia por CBU,TRANSFERENCIA,12,"4.200.000,00",,"-1.854.259,54",Transferencia por CBU - CBU:01704604-20000000141244 BENEF: 0-33708528809 REF:VAR-460001412
31/08/2022,CRED BCA ELECTR INTERBANC EXEN,TRANSFERENCIA,12,,"29.100.000,00","2.345.740,46",CRED BCA ELECTR INTERBANC EXEN - CUENTAS PROPIAS 33708528809 I FLOW SA  Referencia: 5014363
31/08/2022,CRED BCA ELECTRONICA INTERBANC,TRANSFERENCIA,12,,"4.734.452,48","-26.754.259,54",CRED BCA ELECTRONICA INTERBANC - PROVEEDORES 30708050675 OPTION SECURITIES S.A.  Referencia: 9967535
31/08/2022,IIBB- Acreditaciones Bancarias,IIBB,3,"85.220,14",,"-31.488.712,02",
31/08/2022,Impuesto Débitos y Créditos/CR,IMPUESTOS CREDITOS,4,"28.406,71",,"-31.403.491,88",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"511,32",,"-31.375.085,17",
31/08/2022,Rech. Cheques Falla Técnica,CHEQUE / FALLA,1,,"523.798,12","-31.374.573,85",Rech. Cheques Falla Técnica - Número De Cheque: 42304655
31/08/2022,Rech. Cheques Falla Técnica,CHEQUE / FALLA,1,,"261.782,40","-31.898.371,97",Rech. Cheques Falla Técnica - Número De Cheque: 42304629
31/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"163.888,82",,"-32.160.154,37",Trf. Masivas Pago Proveedores - CBU:01700053-20000002864037 BENEF: 0-20325072637 REF:VAR-005028640 Referencia: 2202184745
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"983,33",,"-31.996.265,55",
31/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"49.947,00",,"-31.995.282,22",Trf. Masivas Pago Proveedores - CBU:01105353-20053500353468 BENEF: 0-30709860964 REF:VAR-3630535003 Referencia: 2202184747
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"299,68",,"-31.945.335,22",
31/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"29.766,07",,"-31.945.035,54",Trf. Masivas Pago Proveedores - CUIT: 20225235377 BENEF: NUCCETELLI ALFREDO GABRIEL EDU Referencia: 2202184785
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"178,60",,"-31.915.269,47",
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"0,25",,"-31.915.090,87",
