fecha,codigo,concepto,debito,credito,saldo
30-08-2022,7,Perc. S/deb,"-0,34",,"Saldo Disponible: -1.817.913,23"
29-08-2022,7,Perc. S/deb,"-1.403,24",,"Saldo Disponible: -2.717.912,89"
29-08-2022,10,Sellado,"-0,99",,
29-08-2022,1,Intereses,"-44,88",,
29-08-2022,2,IVA 21%,"-9,42",,
29-08-2022,3,"IVA 10,5%","-5,69",,
26-08-2022,12,Operaciones Descuento Cheques,"-12.430,82",,"Saldo Disponible: -2.716.448,67"
26-08-2022,2,IVA 21%,"-2.610,47",,
26-08-2022,3,"IVA 10,5%","-1.578,71",,
26-08-2022,8,IIBB,"-186,46",,
26-08-2022,12,Operaciones Descuento Cheques,"-20.048,94",,
26-08-2022,2,IVA 21%,"-4.210,27",,
26-08-2022,3,"IVA 10,5%","-2.546,21",,
26-08-2022,8,IIBB,"-300,73",,
26-08-2022,12,Operaciones Descuento Cheques,"-18.493,15",,
26-08-2022,2,IVA 21%,"-3.883,56",,
26-08-2022,3,"IVA 10,5%","-2.348,63",,
26-08-2022,8,IIBB,"-277,39",,
26-08-2022,12,Operaciones Descuento Cheques,"-11.136,91",,
26-08-2022,2,IVA 21%,"-2.338,75",,
26-08-2022,3,"IVA 10,5%","-1.414,38",,
26-08-2022,8,IIBB,"-167,05",,
26-08-2022,12,Operaciones Descuento Cheques,"-8.473,93",,
26-08-2022,2,IVA 21%,"-1.779,52",,
26-08-2022,3,"IVA 10,5%","-1.076,18",,
26-08-2022,8,IIBB,"-127,10",,
26-08-2022,12,Operaciones Descuento Cheques,"-5.396,33",,
26-08-2022,2,IVA 21%,"-1.133,22",,
26-08-2022,3,"IVA 10,5%","-685,33",,
26-08-2022,8,IIBB,"-80,94",,
26-08-2022,12,Operaciones Descuento Cheques,"-3.150,00",,
26-08-2022,2,IVA 21%,"-661,50",,
26-08-2022,3,"IVA 10,5%","-400,05",,
26-08-2022,8,IIBB,"-47,25",,
26-08-2022,12,Operaciones Descuento Cheques,"-400,98",,
26-08-2022,12,Operaciones Descuento Cheques,"-369,86",,
26-08-2022,12,Operaciones Descuento Cheques,"-248,62",,
26-08-2022,12,Operaciones Descuento Cheques,"-222,74",,
26-08-2022,12,Operaciones Descuento Cheques,"-169,48",,
26-08-2022,12,Operaciones Descuento Cheques,"-107,93",,
26-08-2022,6,Perc. S/cred,"-11.088,34",,
26-08-2022,7,Perc. S/deb,"-2,41",,
26-08-2022,10,Sellado,"-2.033,73",,
26-08-2022,1,Intereses,"-92.365,46",,
26-08-2022,2,IVA 21%,"-19.396,74",,
26-08-2022,3,"IVA 10,5%","-11.730,41",,
26-08-2022,8,IIBB,"-1.385,48",,
25-08-2022,7,Perc. S/deb,"-389,09",,"Saldo Disponible: -2.469.942,71"
25-08-2022,12,Operaciones Descuento Cheques,,"298.433,61",
25-08-2022,12,Operaciones Descuento Cheques,,"343.731,12",
25-08-2022,12,Operaciones Descuento Cheques,,"450.000,00",
25-08-2022,12,Operaciones Descuento Cheques,,"76.940,00",
25-08-2022,12,Operaciones Descuento Cheques,,"69.132,24",
25-08-2022,12,Operaciones Descuento Cheques,,"609.822,20",
25-08-2022,2,IVA 21%,"-63,00",,
