fecha,codigo,concepto,debito,credito,saldo
31/08/2022,10,Sellado,"($15.604,46)",-,"($21.046.216,23)"
31/08/2022,2,IVA 21%,"($16.541,86)",-,"($21.029.691,55)"
31/08/2022,2,IVA 21%,"($18.595,66)",-,"($21.013.149,69)"
31/08/2022,2,IVA 21%,"($14.787,16)",-,"($20.994.554,03)"
31/08/2022,2,IVA 21%,"($41.895,41)",-,"($20.979.766,87)"
31/08/2022,2,IVA 21%,"($1.812,33)",-,"($20.937.871,46)"
31/08/2022,2,IVA 21%,"($2.991,78)",-,"($20.936.059,13)"
31/08/2022,1,Intereses,"($157.541,50)",-,"($20.933.067,35)"
31/08/2022,1,Intereses,"($177.101,51)",-,"($20.775.525,85)"
31/08/2022,1,Intereses,"($140.830,09)",-,"($20.598.424,34)"
31/08/2022,1,Intereses,"($399.003,86)",-,"($20.457.594,25)"
31/08/2022,1,Intereses,"($17.260,27)",-,"($20.058.590,39)"
31/08/2022,1,Intereses,"($28.493,12)",-,"($20.041.330,12)"
31/08/2022,2,IVA 21%,"($3.033,80)",-,"($20.012.808,11)"
31/08/2022,1,Intereses,"($28.893,30)",-,"($20.009.774,31)"
30/08/2022,2,IVA 21%,"($26,25)",-,"($18.930.880,10)"
26/08/2022,2,IVA 21%,"($5.040,00)",-,"($15.178.950,37)"
16/08/2022,2,IVA 21%,"($1.050,00)",-,"($1.892,80)"
11/08/2022,2,IVA 21%,"($10,50)",-,"($7.214.333,52)"
04/08/2022,2,IVA 21%,"($10,50)",-,"$636.328,36 "
03/08/2022,8,IIBB,"($185.642,45)",-,"($7.901.820,21)"
03/08/2022,2,IVA 21%,"($15,75)",-,"($6.767.765,68)"
03/08/2022,2,IVA 21%,"($2.100,00)",-,"($19.033.417,65)"
03/08/2022,2,IVA 21%,"($5.040,00)",-,"($19.021.119,27)"
01/08/2022,2,IVA 21%,"($804,42)",-,"($18.992.075,44)"
01/08/2022,4,Comisiones,"($3.830,55)",-,"($18.991.271,02)"
