fecha,codigo,concepto,debito,credito,saldo
31/08/2022,6,Perc. S/cred,"4,70",,"1.975.055,84"
31/08/2022,6,Perc. S/cred,"0,21",,"1.975.060,54"
31/08/2022,6,Perc. S/cred,"0,04",,"1.975.060,75"
31/08/2022,6,Perc. S/cred,"0,69",,"1.975.060,79"
31/08/2022,6,Perc. S/cred,"0,14",,"1.975.061,48"
31/08/2022,7,Perc. S/deb,,"1.570,69","1.975.061,62"
31/08/2022,7,Perc. S/deb,,"3.142,79","1.973.490,93"
31/08/2022,4,Comisiones,"115,00",,"1.970.348,14"
31/08/2022,2,IVA 21%,"24,15",,"1.970.463,14"
31/08/2022,4,Comisiones,"35,00",,"1.970.487,29"
31/08/2022,2,IVA 21%,"7,35",,"1.970.522,29"
31/08/2022,4,Comisiones,"4.706,00",,"1.970.529,64"
31/08/2022,2,IVA 21%,"988,26",,"1.975.235,64"
31/08/2022,8,IIBB,"4,71",,"1.976.365,08"
31/08/2022,6,Perc. S/cred,"28,24",,"1.976.369,79"
31/08/2022,6,Perc. S/cred,"5,93",,"1.976.398,03"
31/08/2022,6,Perc. S/cred,"0,85",,"1.976.403,96"
31/08/2022,6,Perc. S/cred,"0,03",,"1.976.404,81"
31/08/2022,4,Comisiones,"784,08",,"1.976.404,84"
31/08/2022,6,Perc. S/cred,"9.844,83",,"336.383,93"
31/08/2022,6,Perc. S/cred,"177,21",,"346.228,76"
31/08/2022,8,IIBB,"29.534,49",,"346.405,97"
31/08/2022,6,Perc. S/cred,"19.800,00",,"3.675.940,46"
31/08/2022,11,Cred.Compu,,"5.550.000,00","3.695.740,46"
31/08/2022,11,Cred.Compu,,"29.100.000,00","2.345.740,46"
31/08/2022,8,IIBB,"85.220,14",,"-31.488.712,02"
31/08/2022,6,Perc. S/cred,"28.406,71",,"-31.403.491,88"
31/08/2022,6,Perc. S/cred,"511,32",,"-31.375.085,17"
31/08/2022,6,Perc. S/cred,"983,33",,"-31.996.265,55"
31/08/2022,6,Perc. S/cred,"299,68",,"-31.945.335,22"
31/08/2022,6,Perc. S/cred,"178,60",,"-31.915.269,47"
31/08/2022,6,Perc. S/cred,"0,25",,"-31.915.090,87"
31/08/2022,6,Perc. S/cred,"9.000,00",,"-30.415.090,62"
31/08/2022,6,Perc. S/cred,"6.705,42",,"-29.288.520,51"
31/08/2022,6,Perc. S/cred,"3.009,19",,"-28.780.283,09"
31/08/2022,6,Perc. S/cred,"3.009,19",,"-28.275.741,90"
31/08/2022,6,Perc. S/cred,"1.004,69",,"-28.105.284,14"
31/08/2022,6,Perc. S/cred,"622,00",,"-28.000.612,88"
31/08/2022,6,Perc. S/cred,"1.570,69",,"-27.738.208,48"
31/08/2022,6,Perc. S/cred,"3.142,79",,"-27.212.839,67"
31/08/2022,6,Perc. S/cred,"606,01",,"-27.108.694,94"
31/08/2022,6,Perc. S/cred,"10.173,40",,"-25.412.522,02"
31/08/2022,6,Perc. S/cred,"12.000,00",,"-23.402.348,62"
31/08/2022,6,Perc. S/cred,"14.400,00",,"-20.990.348,62"
31/08/2022,6,Perc. S/cred,"71,81",,"-20.963.980,87"
30/08/2022,4,Comisiones,"35,00",,"-20.963.909,06"
30/08/2022,2,IVA 21%,"7,35",,"-20.963.874,06"
30/08/2022,6,Perc. S/cred,"1.046,46",,"-20.789.456,78"
30/08/2022,6,Perc. S/cred,"609,22",,"-20.686.874,09"
30/08/2022,6,Perc. S/cred,"544,10",,"-20.595.580,72"
30/08/2022,6,Perc. S/cred,"594,85",,"-20.495.895,63"
30/08/2022,6,Perc. S/cred,"520,08",,"-20.408.620,78"
30/08/2022,6,Perc. S/cred,"906,79",,"-20.256.969,02"
30/08/2022,6,Perc. S/cred,"847,75",,"-20.114.770,30"
30/08/2022,6,Perc. S/cred,"947,30",,"-19.956.039,64"
30/08/2022,6,Perc. S/cred,"836,89",,"-19.815.611,07"
30/08/2022,6,Perc. S/cred,"844,46",,"-19.674.030,69"
30/08/2022,6,Perc. S/cred,"735,03",,"-19.550.681,06"
30/08/2022,6,Perc. S/cred,"966,00",,"-19.388.946,03"
30/08/2022,6,Perc. S/cred,"872,76",,"-19.242.520,03"
30/08/2022,6,Perc. S/cred,"477,07",,"-19.162.136,26"
